split,variant,bin,n,mean_y,mean_pred,mean_resid,mae,rmse,sse,sse_share
dec,baseline,10-15m,59002,757.7279753228704,812.0800243924045,-54.352049069534075,111.99292635799077,152.2866294381938,1368328215.2681112,0.15763815866404773
dec,baseline,15-20m,47635,1036.4334837829326,1032.976096447239,3.4573873356937628,128.1295326110995,168.25297373724112,1348502224.170818,0.15535410671262706
dec,baseline,20-30m,31732,1415.2993508130594,1298.7191381770601,116.58021263599927,192.41084229252792,248.063871987178,1952650343.2598205,0.22495494954467918
dec,baseline,30-45m,5572,2066.8286073223258,1639.4729065409767,427.35570078134924,460.58964736446745,553.7206312985463,1708411627.092981,0.1968174449157422
dec,baseline,45-60m,583,3025.662092624357,1998.2830171450817,1027.3790754792751,1050.4970328823993,1189.3879946077102,824737336.4009823,0.09501380855927749
dec,baseline,>60m,190,4463.505263157895,2653.8018284361647,1809.70343472173,1859.7020048566912,2153.906988179516,881469909.6084249,0.10154968078416048
dec,A_huber,<10m,19314,487.275033654344,579.5379157492005,-92.26288209485658,114.83282783605816,161.89405395417722,506213850.4062383,0.05604632886178102
dec,A_huber,10-15m,59002,757.7279753228704,798.3701945549209,-40.64221923205058,102.16312567408177,138.32347723666211,1128907943.7043512,0.12498896625755249
dec,A_huber,15-20m,47635,1036.4334837829326,1018.1246002473364,18.308883535596255,123.90824952276809,161.12589250945837,1236678588.4430437,0.13692097679385784
dec,A_huber,20-30m,31732,1415.2993508130594,1284.58835132444,130.71099948861936,196.51221031518614,253.01093653194044,2031309193.039349,0.22489985795860673
dec,A_huber,30-45m,5572,2066.8286073223258,1598.5366309185908,468.29197640373525,492.80122712417915,593.5242847833357,1962854438.968821,0.217320773238364
dec,A_huber,45-60m,583,3025.662092624357,1837.7428166015447,1187.919276022812,1201.0846544469648,1331.1326273745342,1033025903.7783809,0.11437322285717569
dec,A_huber,>60m,190,4463.505263157895,2321.6157417776467,2141.8895213802484,2163.115240444073,2442.0341938600527,1133070890.7565265,0.12544987403266208
dec,B_tailweight,<10m,19314,487.275033654344,656.684429126259,-169.40939547191505,181.1317682983189,251.97638468485755,1226286389.2479742,0.10851065296363871
dec,B_tailweight,10-15m,59002,757.7279753228704,895.3449848641959,-137.61700954132547,167.23977803396565,234.1721777801457,3235469595.1491656,0.2862976556634042
dec,B_tailweight,15-20m,47635,1036.4334837829326,1139.8776875608103,-103.4442037778777,169.1387687259019,240.5967229333645,2757436912.3146696,0.24399788049902219
dec,B_tailweight,20-30m,31732,1415.2993508130594,1438.5439069159052,-23.244556102845944,185.21919443651544,259.45675707195494,2136128708.533655,0.18902005519241646
dec,B_tailweight,30-45m,5572,2066.8286073223258,1875.0160118977126,191.81259542461314,321.36799262049766,420.8783924261413,987016397.3888791,0.08733832056324645
dec,B_tailweight,45-60m,583,3025.662092624357,2404.956442662951,620.7056499614056,710.2286058347335,864.100591725823,435308512.4179949,0.038519232813204685
dec,B_tailweight,>60m,190,4463.505263157895,3229.043136185208,1234.4621269726867,1339.0030821845303,1659.7758307124307,523422603.5612564,0.046316202305067354
dec,C_twostage,<10m,19314,487.275033654344,604.5446231945914,-117.26958954024734,137.0437341322781,212.0113765011243,868141582.2146212,0.0717216852547926
dec,C_twostage,10-15m,59002,757.7279753228704,836.881044813711,-79.15306949084055,134.54152936821117,216.92363754241896,2776390118.6825,0.22937200834072527
dec,C_twostage,15-20m,47635,1036.4334837829326,1086.7944480242115,-50.36096424127893,170.44563052408336,263.63745096397577,3310856648.9115357,0.27352706443482605
dec,C_twostage,20-30m,31732,1415.2993508130594,1442.642122951632,-27.342772138572595,241.7016635798096,328.93892771279826,3433428362.0068774,0.28365335029402766
dec,C_twostage,30-45m,5572,2066.8286073223258,1975.4612343794327,91.36737294289321,266.68262569913946,392.07011240630476,856522117.7916536,0.07076174094703645
dec,C_twostage,45-60m,583,3025.662092624357,2507.7454000316343,517.9166925927221,616.9368406993548,780.0770250467498,354767256.1983741,0.029309165704121044
dec,C_twostage,>60m,190,4463.505263157895,3270.046458525813,1193.4588046320819,1324.8623432683646,1629.0211664391554,504204892.5342894,0.04165498502447126
