airport,STAND_mvt,RUNWAY_mvt,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
EDDF,V130,18,108,932.074074074074,958.9181449855267,-26.844070911452587,-51.27514106220485,177.10649957608294,133.01366164460694,178.31680743803986,343.80097704224664,3434063.452008659,0.00015399720652624672
EDDF,A14,25C,118,838.4745762711865,836.9239122618818,1.5506640093045978,-1.804100201488609,171.14270752346482,121.61122556766578,170.42303843687586,328.2451008545758,3427193.41954671,0.0001536891266603182
EDDF,A20,18,148,958.8378378378378,977.1879002370188,-18.35006239918091,-12.899626976561251,151.2404355849244,114.56333541679541,151.8415039638342,341.27655652114663,3412264.664247864,0.0001530196612747583
EDDF,F211,18,103,794.4854368932039,780.0201758912658,14.465261001938119,-0.28920350212047197,181.9171545239525,123.17620673993775,181.60890771271409,400.7617404704805,3397124.9221423254,0.00015234073439284032
EHAM,D03,24,102,874.8039215686274,849.1932750103108,25.610646558316695,23.590476672196075,181.52770912190897,118.8970150147974,182.44218958751526,442.33459994021325,3395085.55923166,0.00015224928116382323
EDDF,V701,18,170,389.91764705882355,378.07881284663796,11.838834212185553,13.12457612868954,141.19092187802102,105.9379838814635,141.271973290258,321.7211109631529,3392820.974344972,0.00015214772807624487
EHAM,C10,24,154,579.012987012987,596.9849766647277,-17.97198965174073,-17.19388657678718,147.53416286309871,104.61053486059531,148.14851272855068,326.47830938850984,3379989.200846957,0.00015157229978230466
EDDM,249,26L,112,736.1071428571429,709.7495978745985,26.357544982544265,-10.211048871061223,172.40727604782987,120.32304280822655,173.6479016697033,405.67710081693633,3377202.5004805857,0.00015144733293825992
EHAM,C15,18L,144,710.5,698.9787342343589,11.521265765641244,27.377702656293934,152.91968479457626,104.4486008876731,152.82270017092114,271.55142693811956,3363087.987004501,0.0001508143814284319
EHAM,D16,36L,133,1194.1127819548872,1208.0559735776756,-13.943191622788296,-3.429045521989565,159.00093523018282,103.6859300500869,159.0145435292471,303.2839189805395,3362988.1321573714,0.00015080990353577472
LSZH,H12,28,192,403.359375,411.65841957045194,-8.29904457045192,-15.699681474129534,132.3893453537258,93.77873866537705,132.30467400881503,229.3411697334015,3360869.138799133,0.00015071487935745746
LEMD,T24,36L,134,960.9402985074627,973.8753780019692,-12.935079494506473,-13.507790882452184,158.39491795228992,113.27556956663487,158.33204143269768,330.86847181297685,3359250.736128896,0.00015064230367744047
EHAM,D48,24,137,593.8832116788321,583.0139956939149,10.869215984917155,-0.523626613705801,156.66828239306273,104.2275287580948,156.47341735890254,319.8358766109794,3354298.456576342,0.00015042022355932726
EHAM,C08,36L,111,1089.3513513513512,1100.408799597699,-11.05744824634765,-7.486118248066532,174.23270437961912,119.10028399572535,173.79820376768342,399.40664814535717,3352845.5352489254,0.00015035506872778395
LEMD,T17,36R,118,1253.093220338983,1259.1044779476822,-6.011257608698479,-16.62120024815647,169.0996513828296,125.75918036888739,168.4888703051296,366.0743903022275,3349842.9311704566,0.00015022041989358202
LEMD,545,36L,110,961.9545454545455,968.0904323688786,-6.135886914333353,-27.284877691419013,174.8768230406333,129.08349972221754,174.18821729054432,352.48136194509186,3337568.8547143666,0.00014967000097635967
LEMD,T10,36R,145,1272.2137931034483,1275.9826535504908,-3.7688604470424316,-12.14696664156736,151.86261550016476,119.0669597508075,151.38496711406555,283.228126581722,3323024.1988783726,0.00014901776015439157
LFPG,F84,26R,113,847.3185840707964,876.2057150615557,-28.88713099075909,-32.87869838403776,169.69559502641866,131.8724235366713,171.39493628636498,355.9042940416217,3319513.332860604,0.00014886031881215076
LEMD,338,36L,112,748.6607142857143,753.7685707327389,-5.107856447024573,-27.443721354075535,172.66291507724122,125.80559256569414,171.96624541835132,396.9143191707871,3312107.6310878797,0.00014852821738149755
LSZH,F70,28,143,345.8811188811189,371.6544397140693,-25.77332083295044,-22.956250215841465,150.43496906068532,108.51654019611938,152.10748660120723,350.4742335615705,3308546.309659511,0.00014836851341586753
EDDF,B27,18,152,885.6513157894736,872.6493866067237,13.001929182749777,-0.7491983784627223,147.3048043948803,107.5252060625543,147.39403284906788,284.1628169540245,3302200.139765839,0.0001480839256528794
EDDF,A17,25C,138,683.8985507246376,708.1930226940176,-24.294471969379913,-39.04417067011366,153.1464471035827,115.83822668032784,154.51246004123269,277.20463000244337,3294625.842503107,0.00014774426372287698
EHAM,B36,24,133,583.3984962406015,581.9595993909669,1.4388968496346464,3.980476810797768,157.43593474805454,102.57195965427785,156.84955377327177,289.15152778134205,3272037.0750103043,0.00014673129260531423
EDDF,A18,25C,118,806.1949152542373,787.7480873506603,18.44682790357693,-1.6052430114048661,165.77903879964822,114.28332431134402,166.10259183707592,337.0236292160748,3255628.3797693206,0.00014599546076494042
EHAM,B15,24,148,599.9594594594595,609.9604717999279,-10.0010123404684,-3.011994793602298,148.1835331394574,101.2494631899172,148.02031092944839,330.55059253274834,3242681.842252285,0.00014541488599115616
EHAM,G06,24,116,869.6206896551724,870.6358836581381,-1.0151940029655557,-13.05524071792945,167.62050785967392,123.83044261245705,166.89952937705363,331.3430689793172,3231232.53712871,0.00014490145313520068
LEMD,354,36R,195,961.2307692307693,961.2794425961472,-0.04867336537804943,-4.562521280242322,128.9822480380099,96.0506746508361,128.6511084370902,272.23111211149654,3227466.001907928,0.00014473254655837433
LFPG,U15,27L,107,964.7009345794393,958.4460015712268,6.25493300821255,3.9100515395026605,174.26543051979127,130.9515912539996,173.5619407080961,318.242295537201,3223240.9570725914,0.000144543078567703
LEMD,360,36R,146,957.1917808219179,948.851552398556,8.340228423361747,2.019745099508441,148.62725116417099,111.44383212235896,148.35200510743803,313.2504524126154,3213214.343232009,0.0001440934449066057
EHAM,D52,18L,120,652.2666666666667,629.4419663111662,22.824700355500323,15.656125765174806,162.56213325147087,112.55331843326385,163.48453664040147,313.2105207410683,3207263.246463213,0.00014382657381031716
LSZH,A02,32,155,831.1677419354838,836.6620386417494,-5.494296706265566,-14.745945394615433,143.9254400564371,112.20134030689158,143.56558587591252,266.0058094675066,3194717.0044235718,0.0001432639498945078
LEMD,T14,36R,154,1247.064935064935,1267.5956670055918,-20.530731940656683,-40.74423793157246,142.9697210926083,112.09250174258771,143.97611821178836,281.12732425267,3192284.882761568,0.00014315488378460192
EHAM,B20,24,127,561.5511811023622,573.5085888664066,-11.957407764044442,-10.456844030400248,158.5147957652398,105.97240138143485,158.34162482404793,368.24241676203064,3184152.9092937824,0.00014279021341229064
EHAM,B17,24,142,576.3169014084507,588.5199653450326,-12.20306393658183,12.62338694864306,149.43474745383804,111.58420791371569,149.4068263408799,302.07357673274754,3169780.765530045,0.00014214570872496038
LEMD,T11,36R,150,1245.2466666666667,1284.0874496542601,-38.84078298759317,-34.99150102925137,140.32358356451996,118.39657874140052,145.14834873368537,246.01309918399622,3160206.471017331,0.00014171635888037462
EDDF,A50,18,125,957.104,952.7889587591538,4.3150412408462575,-8.771021854286346,159.15754589400797,115.45388497845121,158.5783560281586,344.79014322720025,3143386.875074178,0.00014096210060112507
EDDM,255,26R,109,936.7614678899082,961.8437291454965,-25.082261255588133,-22.31889059513071,168.29623079199064,123.36790795432057,169.38976176793688,360.8148202137145,3127525.161706026,0.00014025079762622326
LEMD,T5,36L,123,1187.30081300813,1209.2847698444089,-21.98395683627888,-33.923141736297794,158.56667829326267,125.38193004301017,159.4436201494125,309.2301407074436,3126938.964781068,0.00014022451020021047
LSZH,A44,32,145,842.7793103448275,848.3360827596864,-5.556772414858788,-29.839292798876272,146.63057030525962,110.16620735012994,146.22969052430201,311.4805072759645,3100552.746670806,0.00013904124613518692
EHAM,C16,24,144,581.2569444444445,579.0453699617169,2.2115744827275816,14.058071299676385,146.98448356780844,104.84456001139954,146.48992678371593,314.19465761370185,3090139.005470177,0.00013857425212741864
