airport,hour,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
LTFM,6,2246,1148.3944790739092,1150.593315526037,-2.1988364521277224,-24.61495979199225,299.7047200576167,207.83352507867497,299.64606073087833,586.8813442332522,201663312.8041036,0.009043393421427768
LTFM,12,2799,1085.9128260092891,1112.6818465896135,-26.76902058032474,-46.25635658803628,258.4408158640228,186.85814181318713,259.77754537737735,483.17207199251317,188888760.2573447,0.008470531144910151
LFPG,13,2194,1019.566545123063,1029.1390047284729,-9.572459605409986,-39.50548983505138,290.6335630343645,178.25917284149125,290.7249567218422,476.01073780386304,185439075.01125196,0.008315833394353924
LFPG,17,1708,891.4959016393443,901.15016986151,-9.654268222165742,-22.186990015024946,327.22787659336586,148.11209969946847,327.274496452923,425.52866947303795,182941482.01670247,0.008203831286770512
LFPG,14,2456,989.0272801302932,996.854195330376,-7.8269152000827935,-26.517774100290637,272.7845960515852,169.33010364727357,272.84134332736085,464.625573721472,182830531.03203508,0.008198855798711279
LTFM,23,2188,1248.8258683729434,1224.7309709612618,24.09489741168164,-16.84278911623437,287.6867933199813,202.6143372007914,288.6285310703075,595.7251987403786,182274466.53779393,0.00817391963199267
EGLL,10,2541,1428.0751672569854,1450.536501937756,-22.46133468077054,-27.687342226237206,266.2566944242217,183.50013755091615,267.1502187575571,499.1783803347905,181349237.2701972,0.00813242863318108
LTFM,17,2480,1040.0133064516128,1028.0227849480884,11.990521503524596,-22.907526014829386,268.6296037511087,179.28596731780493,268.84296362671097,508.3673418421263,179245816.94715077,0.008038102812349138
LFPG,12,2728,1083.8504398826979,1101.978962435977,-18.12852255327913,-45.48425809367603,254.81240208705444,181.19651723152333,255.4098715833065,481.3364094027425,177958904.42600468,0.007980392482860546
EGLL,12,2523,1415.4847403884264,1448.943972369485,-33.459231981058394,-38.87605419491251,263.1886095354321,175.23385141130862,265.2551784219346,457.2073561301888,177519061.32176286,0.007960668150357763
LTFM,11,2828,1081.1145685997171,1098.8317057981403,-17.71713719842313,-35.19494410519292,249.42013335393403,179.97124534355584,250.00460366154593,480.94444986088354,176756509.6373617,0.007926472268170155
EDDF,11,3020,911.5013245033113,895.8309314652508,15.670393038060446,-10.346768368877122,240.6031376696095,153.38464275148326,241.0731470806113,386.82433953728867,175511111.97491717,0.00787062363179199
LIRF,5,1099,1133.0090991810737,1088.5531151430948,44.45598403797897,8.818554435491478,397.2255100410948,199.61317513450592,399.52580153173216,582.3693656849701,175423331.83244073,0.007866687217419116
EDDF,10,2878,986.7223766504517,974.4110843404931,12.311292309958766,-14.503434137082536,242.0796365326052,162.6853761913089,242.35048193445647,434.60715877960195,169035750.0381386,0.007580242378374262
EGLL,19,2513,1381.3887783525668,1395.1782011585806,-13.789422806013983,-19.83585403988559,258.2800333084462,173.9415756547252,258.5965552611685,446.9918914425298,168049784.30146468,0.00753602771219226
EHAM,13,2672,790.6942365269462,777.5020683799034,13.19216814704269,13.564137858185745,248.81482180220536,128.46409603309044,249.11780221811966,354.97961746020644,165823463.3086671,0.007436190531396713
EGLL,13,2492,1402.8190208667736,1434.8621148418176,-32.04309397504398,-36.899901331398155,254.13796463640884,179.6810062297535,256.0994876281361,466.3430333318549,163442673.32797742,0.007329426340380547
EGLL,17,2526,1385.173792557403,1402.4545862712828,-17.280793713879614,-16.22900831893935,253.80435130163966,170.75400105922685,254.3418430509507,448.5290963798527,163406366.9176765,0.007327798215028913
EGLL,18,2503,1325.1490211745904,1342.752561352212,-17.603540177621543,-24.764329579798982,246.3110975661146,166.4342656875604,246.8902647626819,441.46064636894954,152569871.4949717,0.006841846208913566
LTFM,4,2527,1034.5381875741987,1016.6336139277006,17.9045736464982,-8.701069068306765,244.87974130938667,170.65504064737414,245.48509386874747,482.2395476880025,152284427.42478657,0.006829045749620282
EGLL,8,2314,1308.213915298185,1335.7699322555272,-27.5560169573421,-32.57922749084014,251.88703959499068,170.8249467571805,253.33573770038498,472.794044680221,148510196.7352028,0.006659794077045169
LFPG,20,2524,1010.5257527733756,1012.1900188390305,-1.6642660656550392,-24.733658823816768,240.85529999547822,160.63218428535916,240.81333321130657,435.67198040303117,146369439.1057056,0.006563793901335112
LFPG,8,2494,1046.4506816359262,1069.6370382408593,-23.186356604932882,-31.566582869656372,240.36294941703775,169.65099115019385,241.4307131441269,449.8361506195491,145372240.38770854,0.006519075503125761
LEBL,14,1811,1000.1932633903921,972.5850743506226,27.608189039769496,-9.837760640715828,276.92067868918747,166.53105218655938,278.2174156024529,532.6332823949548,140180328.85390398,0.006286249323903698
EDDF,12,2997,930.2022022022022,927.6020886052214,2.600113596980769,-20.70865367165652,215.1939340716487,148.27928286785686,215.1737397018245,379.9835449399546,138760315.55703378,0.006222570220705932
LTFM,18,2280,1026.697807017544,1024.1422316414728,2.555575376071175,-20.29008899243661,244.50009603907213,167.58105117707782,244.4598300337413,449.1515846155099,136254187.38028657,0.0061101853612502794
LTFM,7,1295,1068.6347490347491,1054.7249906053696,13.909758429379346,-25.31625884229743,321.99857964293693,208.2925619577691,322.1746459811911,554.3434475301465,134416470.75447202,0.0060277747620527755
LIRF,4,815,1125.2981595092024,1128.3708062007372,-3.0726466915347657,-5.253708865211252,403.79049461583764,229.83144660971394,403.5543920231999,813.9287318570098,132727760.06678982,0.005952046187968927
LEMD,14,2982,1016.2997987927565,1040.9058684300435,-24.606069637286907,-41.388668126566756,209.03513905065955,149.436560576938,210.4435669538167,393.2520688035355,132062327.7090362,0.005922205526706162
