airport,STAND_mvt,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
EDDF,F223,112,814.5267857142857,791.432934855506,23.093850858779653,9.946219253964841,191.32995098446065,142.03353463842768,191.86877426081884,390.6453821077265,4123126.172071094,0.0001848975482042445
LEMD,40,88,949.0,1003.7581692174804,-54.7581692174804,-83.02121348945195,209.97326249364826,170.4506206446629,215.83841015292515,420.0878381300239,4099587.2981661265,0.0001838419704967277
EDDF,K8,60,1173.2166666666667,1159.1182030370685,14.098463629598305,-45.198816900274096,263.099667570384,169.26636904105413,261.27860832407913,395.8848775653504,4095990.6700660535,0.00018368068323804264
LEMD,300,172,1040.4651162790697,1038.2038433694177,2.2612729096522517,-15.830255467744962,154.55957812688527,113.8313035529271,154.12621116877625,335.69819911252233,4085840.902709659,0.00018322552687834818
LTFM,124,54,975.6666666666666,890.2997601522843,85.36690651438255,15.169036866868964,263.48368845816066,181.82165463338814,274.63710526362513,637.0397596243167,4072979.13772951,0.00018264875364581472
EDDM,328,126,851.9285714285714,882.179869863993,-30.251298435421624,-52.31240274100696,177.9260797684331,138.91794878670734,179.78203306212882,321.5491520209733,4072519.0059059993,0.0001826281194856005
EDDM,347,203,551.0197044334975,538.9978975006834,12.021806932814146,12.700837080738324,141.35878434201004,107.74159962540078,141.52171122515017,283.5923698914826,4065764.1338632437,0.0001823252038756929
EHAM,A71,235,677.7489361702128,675.7551437070026,1.9937924632100834,-3.0619289811914996,131.65731410922962,94.54223745027674,131.3920216796364,278.98706120213853,4057007.889849579,0.0001819325387031907
EDDF,V268,94,696.468085106383,681.8790508015773,14.589034304805732,6.853005644628183,208.28661703987967,127.8910068545685,207.6887819164266,405.08875278670655,4054655.232589327,0.00018182703609642302
LTFM,303,76,913.3552631578947,940.2900286701534,-26.934765512258554,-30.90855747150772,230.72510132238983,159.72366119614867,230.7793440770533,400.49777927497246,4047692.0296002566,0.00018151477808961048
LFPG,I44,63,1110.3174603174602,1192.5854285457478,-82.26796822828723,-72.02438431822247,241.5788299200577,178.31785097503865,253.381126370132,567.6908459014247,4044725.6976375985,0.00018138175584285737
LTFM,206,61,1167.2131147540983,1135.1671749430143,32.04593981108419,-13.902011602505127,257.4227430062354,185.5335223226973,257.30735575209263,527.5982625040974,4038631.5947721717,0.0001811084717784612
LEMD,259,60,1169.4166666666667,1235.7980183692055,-66.38135170253871,-92.56534831316998,252.77964202855185,191.99416157881396,259.3049790385912,502.4268695138684,4034344.329252254,0.00018091621356223125
LFPG,B09,54,1029.7222222222222,1042.167156287662,-12.444934065439671,-2.7056849758965313,275.24837639673916,177.12639782880026,272.9717040792908,389.2750057628019,4023731.766309403,0.00018044030358848657
LEBL,296,87,750.919540229885,746.9670835851393,3.952456644745636,-22.56155841039333,216.18754613345547,132.33616179676605,214.9778348732995,445.8915495720809,4020745.8453526124,0.00018030640289250934
EGLL,547,102,1582.862745098039,1632.5223605805074,-49.65961548246814,-29.611743569109535,193.11063743939187,148.97707938367824,198.47465989596327,420.23828067362325,4018003.443323466,0.0001801834225639387
EDDM,323,133,838.9398496240601,828.075346406703,10.864503217357095,-21.123858396866467,173.98754878273039,132.5191343866659,173.67238710226164,351.4407094825859,4011559.039559109,0.00017989442959939178
EDDM,256,150,763.8933333333333,722.2596508378224,41.633682495511,13.127450947646338,158.54684181417085,114.57454222945688,163.41017071688984,334.3626260901863,4005432.5840584617,0.0001796196947128086
EDDF,V701,186,409.2096774193548,396.9143317511867,12.295345668168167,12.531679276553433,146.27323973518742,109.50064219058108,146.3967372545867,327.5905993047375,3986352.870254659,0.00017876408366538103
EDDF,V171A,206,401.3883495145631,402.51522579602204,-1.1268762814588693,-11.418757566931049,139.4198180795622,95.24035096434675,139.0855738571573,278.32142828213694,3985028.1521659996,0.00017870467798230635
EHAM,A75,211,678.2274881516588,683.2832152113785,-5.055727059719893,-7.578035897000859,137.53835062950793,101.24853262902654,137.30515357917457,287.2029772682501,3977920.7970735515,0.00017838595561583788
EHAM,S74,62,1055.4032258064517,1032.9091540517925,22.49407175465898,4.841638351904805,253.636473076246,160.32699649233138,252.58630116745934,597.1165289643457,3955590.051322425,0.00017738455523014904
LEMD,225,66,959.4242424242424,1048.275685135657,-88.85144271141452,-79.81830401065258,229.71938575009398,173.21793401381814,244.67532469167386,388.93197318074084,3951156.9578564176,0.00017718575750274085
LFPG,Y05,64,1006.71875,1002.4591357730006,4.259614226999265,-31.569929080312477,250.10884327759138,193.37603962281787,248.18373189192772,442.2216546861346,3942090.545651473,0.0001767791831419904
EDDM,513,147,709.1632653061224,703.9890232989867,5.174242007135755,-23.33518823208317,164.13180203903656,122.03969381474805,163.6543950752822,331.4378663997567,3937065.8710361132,0.00017655385653830865
EHAM,D31,146,793.8356164383562,797.1934648287173,-3.357848390361107,-10.51990391019308,164.59682305186243,109.58889076095474,164.0665318669039,299.15139202137766,3930002.724309733,0.000176237116652646
LEBL,41,51,1022.9803921568628,1081.1357942441834,-58.15540208732049,-96.18592635569394,274.0219813960425,215.31986588185592,277.4847427284044,518.9518705225047,3926886.9047994874,0.0001760973907834757
LTFM,204,67,1170.0746268656717,1145.6497445972518,24.424882268419946,8.349516441893911,242.66287906051755,178.79601305651565,242.08048884204868,438.02455087419094,3926398.526226352,0.000176075489925486
LSZH,D14,125,713.08,759.0510454945127,-45.97104549451258,-60.93744637867496,171.7397915763716,133.7678130271958,177.12124826363586,340.6872189968346,3921492.073308566,0.00017585546485785085
LEMD,602,66,613.0757575757576,560.7618401012411,52.31391747451657,-0.6413069335789885,239.51653734322753,167.40970188005494,243.38385916137813,414.7650881311597,3909556.391418846,0.00017532022091297622
EDDF,F214,141,881.2624113475177,887.0867508009597,-5.824339453442056,-15.769918505427427,166.74085235792595,120.87958593543976,166.250575457787,323.5048621576518,3897134.7914463906,0.00017476318644839005
LEMD,512,110,798.4545454545455,807.8562715751701,-9.401726120624708,-25.121425548523632,188.84731546061755,138.5867388070288,188.22191454439997,359.1371615237912,3897023.802623534,0.00017475820926351435
LFPG,M08,73,1276.150684931507,1249.0638860142933,27.08679891721362,10.858025450243304,231.03826477434535,179.28082013171772,231.0436315371602,419.47524882296756,3896824.65619317,0.00017474927873721677
LFPG,N11,64,1245.515625,1270.8523302088122,-25.336705208812056,-49.347403563481066,247.31022629851327,192.98409422412044,246.67516083842506,500.84996291909505,3894312.638378424,0.00017463662976272308
LEBL,143A,94,845.8404255319149,880.6189393284344,-34.77851379651938,-58.0520262128573,201.56061359213788,160.2267763909123,203.47979565550415,393.63994451191047,3891978.560560538,0.00017453196033282098
EHAM,D94,78,845.8974358974359,798.134697943503,47.76273795393292,40.958204683651786,219.33856012177705,147.86151590661515,223.10064066008766,393.98755848771566,3882363.877309442,0.00017410079929488576
LTFM,143,53,1250.4150943396226,1190.5151096706807,59.899984668942196,26.743937461924816,266.13888913336007,197.16875873230023,270.3359079148663,524.8364064316219,3873319.664732219,0.0001736952204546616
LFPG,B26,98,1034.561224489796,1048.2492510621214,-13.68802657232537,-21.68791032911389,199.1715067693612,136.32222122162304,198.6249292406346,415.5228665450397,3866282.5265530157,0.00017337964689678146
LEBL,288,87,749.9770114942529,770.9930158532378,-21.016004358985015,-40.53984951880375,210.7722639079523,139.9875541704355,210.60861353399318,351.3149283419724,3858970.964239848,0.00017305176705783676
LEBL,134,64,889.96875,842.7087610724104,47.25998892758954,2.448510218487968,241.64217804948922,159.45275625466903,244.36057434428042,486.6137239972662,3821573.7788074627,0.00017137472696553366
LEMD,600,66,691.3939393939394,687.3753398182474,4.018599575691907,-36.00315778407645,242.2114415920918,187.15946889888428,240.40309273857795,442.08459467136925,3814380.7018860383,0.0001710521604877419
EHAM,S94,101,1017.4455445544554,1033.1216371712687,-15.676092616813301,-12.588245676623046,194.6348628541789,138.8607671571808,194.30232418821913,401.8597309684885,3813092.711679325,0.00017099440183050132
EHAM,D26,174,777.5344827586207,802.0462990607663,-24.511816302145615,-34.25258131807095,146.38274570317557,108.49609944753571,148.00536638953994,305.92481748006765,3811572.3955377406,0.00017092622474463418
EDDM,244,128,799.265625,746.3935005090276,52.87212449097243,21.44450562795805,164.57523607715885,123.18775956038252,172.2465333481765,359.5826109814816,3797615.1360594537,0.0001703003251360638
LTFM,311,55,1045.418181818182,1008.327812474237,37.09036934394464,-9.9928827127344,262.03632445575346,184.57439179563937,262.27907276046915,519.6305746709209,3783467.1604450303,0.0001696658730494699
LTFM,A6,69,1199.1014492753623,1207.6817459862784,-8.580296710916304,-24.38767706219096,235.4255970659922,190.18520166771566,233.87083894120758,458.4808740783676,3773994.282187434,0.00016924107111735074
EDDF,V267,97,681.6701030927835,659.5815412798459,22.08856181293762,-4.98567909013309,196.85029992839281,133.55798363544258,197.07475787225928,316.3322811045423,3767330.6384697333,0.00016894224655218093
EHAM,A65,209,732.5741626794259,716.5513219727641,16.02284070666175,6.0453404835074025,133.44764982606864,98.52168994913535,134.08877510749315,264.5081097294586,3757778.118454026,0.00016851387316355163
LTFM,312,50,1003.26,971.0218555285921,32.2381444714078,-6.686218540604727,274.7003493274412,197.73264567164327,273.84370403784203,478.6885960141868,3749518.7120582615,0.0001681434881866029
LEBL,51,65,1075.0,1079.6394756094126,-4.639475609412641,-23.146691054217058,241.7845428123226,158.88091551127084,239.96230719572347,392.3494029256024,3742824.076855159,0.00016784327383867432
EDDM,232,137,701.3503649635037,686.1923554870332,15.158009476470427,-14.99960369921132,165.0980589868146,117.54211054260279,165.19132977883393,304.1016519115177,3738480.0344716264,0.00016764846951969637
EDDM,354,177,886.6892655367232,889.8019402691099,-3.112674732386608,-3.8302673800523053,145.69820240560077,113.86630093918207,145.31938245076879,274.12605539098297,3737836.956109486,0.00016761963130143656
EDDM,519,129,697.1937984496124,691.8883566311741,5.305441818438326,9.88184704813466,170.76162169075852,128.41462250521417,170.18118660988253,356.97746150753386,3736051.0795972487,0.00016753954542127482
LEMD,20,57,772.2631578947369,738.2082646702462,34.05489322449067,2.857708265222186,255.858542382876,165.3128756216818,255.88052947155026,476.9825627858694,3732066.185670531,0.00016736084676250104
LEMD,392,93,951.5376344086021,943.5145611753433,8.023073233259046,-31.873584972440312,201.18119594863833,131.93199822365554,200.25743523140264,375.7722856581578,3729582.7539877268,0.00016724947970504995
LTFM,215,56,1056.767857142857,1164.8547093306486,-108.0868521877914,-110.91790224515546,236.3246332738448,192.24343900760596,257.9433860417206,514.8499422143641,3725948.2625494143,0.00016708649450210725
EDDM,341,192,570.7083333333334,555.5200390537008,15.188294279632622,-4.49786640292686,138.77072008100663,106.27320714339555,139.23971606912372,263.62279529175413,3722438.117953957,0.00016692908551134227
LSZH,D05,157,657.8025477707006,695.7200588525565,-37.91751108185583,-41.45144098613389,149.56981445404674,119.9093114332353,153.83879800760135,304.0013044800539,3715620.996270501,0.0001666233783773673
EDDM,246,125,778.0,745.5591571905929,32.44084280940709,26.185740104029264,169.94724326335825,124.87569379190855,172.34679356186814,389.59444011443713,3712927.1563821496,0.00016650257577035884
LSZH,D03,170,647.0235294117647,674.3795273358783,-27.355997924113506,-21.099144409007295,145.47505744882284,115.41749934929561,147.60370853040465,290.12172350383844,3703765.3112278697,0.0001660917218126197
LEMD,43,74,1001.8513513513514,1001.2394253024479,0.6119260489037647,-62.35628824622444,224.95570115601518,170.17618470377957,223.43139813554728,413.96163195324345,3694197.6357876025,0.0001656626687938442
EHAM,E07,111,993.2342342342342,1045.604609702363,-52.37037546812872,-32.7251692074899,175.54219235701234,132.98942493480047,182.42835404436642,382.688116579033,3694091.583886374,0.00016565791300037554
EDDF,K6,61,1211.0,1208.3248289021333,2.675171097866427,-5.494688487201984,248.0784793329002,160.27898605797455,246.0511896444377,373.42029056166984,3693012.463452026,0.0001656095209031655
EGLL,237L,104,1082.298076923077,1110.3262917275222,-28.02821480444541,-55.176493368170554,187.24504787813407,152.02728077049304,188.4387608432378,354.5151733856176,3692953.3251660364,0.0001656068689047478
EDDM,330,116,839.2844827586207,823.5361765965325,15.748306162088053,-3.8750767906350916,178.37325659247176,136.1145457941707,178.29958825161128,361.6060988399506,3687726.2078005183,0.00016537246395454113
EDDF,V714,51,923.5098039215686,898.4836808756769,25.026123045891552,-13.74544991997368,269.98816596294705,201.38129006910523,268.4969834632428,577.0519728731415,3676622.1365719056,0.0001648745127739144
EGLL,364,67,1335.4925373134329,1371.4204510482482,-35.927913734815235,-44.64629015959281,233.1580212079399,179.93643171268678,234.18389101574166,449.6215526968682,3674420.3523552753,0.00016477577592077434
EHAM,A45,208,675.625,681.6522411871841,-6.027241187184083,-8.458148315591018,132.79584480349206,91.81799050541191,132.61327854659672,263.4708001874181,3657946.5825504675,0.00016403702587542703
EGLL,422,81,1295.2222222222222,1321.4386856732633,-26.21646345104125,-34.870325483337865,212.17696827513686,156.96247926687974,212.48665342954047,379.1780788754845,3657196.8087405367,0.00016400340300448435
LEMD,16,97,869.5876288659794,853.9234923205669,15.664136545412397,1.6440265529603266,194.20542851576258,133.92712859446513,193.83573326293754,365.8221106622709,3644512.2744893255,0.00016343457751011835
LEBL,290,87,737.7241379310345,753.5332642931849,-15.809126362150327,-38.52335113557251,205.1853783832475,134.7623474873743,204.61438850758233,572.33447400097,3642433.1746368706,0.00016334134231693056
EDDF,V169,108,662.3888888888889,677.2652842888522,-14.876395399963368,-8.903602095049052,183.83278607172647,135.48611667200726,183.58346439860003,353.27651346077255,3639911.9472639407,0.00016322828034883512
LTFM,H41L,57,637.5263157894736,640.5327195622515,-3.006403772777804,-33.09171211476075,254.81965755734478,195.6079363718926,252.5923987124191,481.93718461271595,3636766.433575741,0.0001630872228733859
LTFM,121,65,1118.1384615384616,1089.8952429570836,28.243218581378052,-6.922459571539321,236.1791158238823,182.1807277497176,236.05103570775535,512.3134392191353,3621805.9448157595,0.0001624163344318934
LFPG,J34,102,897.7941176470588,924.4370651069574,-26.64294745989841,-41.34629915469441,187.22180659296373,136.64742695786128,188.19724866951395,408.8659095768046,3612656.849491037,0.00016200605222775255
LSZH,G05,70,986.3428571428572,1017.9260865099092,-31.583229367052322,-85.03630808255303,225.77489241808487,171.9815326480083,226.37048859933378,376.6385806509051,3587051.867609077,0.00016085782193495741
LTFM,211,51,1097.7058823529412,1099.9523490268202,-2.2464666738789885,-3.44030081148685,265.55144990210573,192.78452889259822,262.94471216729744,448.7901975984456,3526136.0044938885,0.00015812610981490697
LTFM,114,64,1088.59375,1134.7230485480854,-46.12929854808543,-40.51627965732217,231.67747847213403,181.29796749525747,234.44338948135632,513.1855645940657,3517676.9837764436,0.0001577467733295336
EDDM,182,131,885.7862595419847,888.7859117229297,-2.999652180944879,1.5642277777011486,164.2773238512299,129.81882768548476,163.67659916012826,317.9029272954459,3509493.813753914,0.00015737980709795108
LSZH,F72,165,434.0969696969697,442.3857209415849,-8.28875124461525,-31.984633532123325,145.89354356094773,113.47235136433717,145.68675265146894,285.20075302449834,3502063.9331914983,0.00015704662139319467
LEMD,T36,67,1162.1044776119404,1147.5903115287674,14.514166083173066,-12.247948189537055,229.85066517222228,156.4561970956823,228.59016166370785,492.322094572816,3500981.9546324858,0.00015699810112618803
LEMD,98,109,1065.8532110091744,1088.3882051473154,-22.534994138141116,-41.74783900102466,178.2204446989102,137.88658528283173,178.8266018802738,380.5003333170375,3485705.9358650087,0.0001563130630510593
LTFM,K3,53,918.4150943396227,875.8860910230359,42.52900331658677,9.990435641718477,255.04705692632183,189.090856126542,256.1842651758985,537.3947981316172,3478410.0193568994,0.00015598588483289319
EDDM,516,149,685.744966442953,691.4475693161793,-5.702602873226133,-19.592867218718766,152.81498211340124,115.15532136043169,152.40804045448385,271.0106139358206,3461003.408481163,0.00015520530244488142
EDDF,A58B,147,788.3401360544218,786.1151438851032,2.2249921693185817,-17.627221528639666,153.6135791273296,106.87581166704888,153.1063603416658,364.92657708280416,3445908.9638295863,0.00015452840688284742
LFPG,E08,72,1026.8472222222222,1015.9356984878627,10.911523734359415,-3.0656734533712893,219.59342793145558,163.70101998408518,218.33596824598345,441.3200581003863,3432282.8421535986,0.00015391735682415922
LFPG,E25,50,803.58,882.6603039351209,-79.08030393512108,-72.53909525805369,252.2408282854328,168.65422546590474,261.9286567283349,472.1560208002377,3430331.0607754947,0.00015382983110304825
LTFM,117,60,1074.0166666666667,1141.7062982593213,-67.68963159265472,-75.14635005596568,231.23503437983635,185.5279742695647,239.08234285363417,418.1690191087695,3429621.999862961,0.00015379803396204804
EDDM,327,128,845.4375,821.8687076708284,23.568792329171625,-4.250789847007184,162.56062025817067,113.72919262186261,163.63065255360326,302.85112681226934,3427198.778255108,0.00015368936696633916
EDDF,V173B,155,441.71612903225804,439.98884839856294,1.7272806336951831,-0.14360032733392813,148.27894826560947,104.46095058190767,147.80994778732855,251.8345362281867,3386406.0030583832,0.00015186005498228882
EDDF,F233,157,808.1783439490446,805.3644158784721,2.813928070572545,-9.853499314887813,146.88262724410205,104.67592408666061,146.4411388253378,276.0006362494099,3366866.121052511,0.00015098380814328627
