airport,bin,state
EDDF,5786209,1
EDDF,5786210,1
EDDF,5786211,1
EDDF,5786212,1
EDDF,5786213,1
EDDF,5786214,1
EDDF,5786215,1
EDDF,5786216,1
EDDF,5786217,1
EDDF,5786218,1
EDDF,5786219,1
EDDF,5786220,1
EDDF,5786221,1
EDDF,5786222,1
EDDF,5786223,1
EDDF,5786224,1
EDDF,5786225,1
EDDF,5786226,1
EDDF,5786227,1
EDDF,5786228,1
EDDF,5786229,1
EDDF,5786230,1
EDDF,5786231,1
EDDF,5786232,1
EDDF,5786233,1
EDDF,5786234,1
EDDF,5786235,1
EDDF,5786236,1
EDDF,5786237,1
EDDF,5786238,1
EDDF,5786239,1
EDDF,5786240,1
EDDF,5786241,1
EDDF,5786242,1
EDDF,5786243,1
EDDF,5786244,1
EDDF,5786245,1
EDDF,5786246,1
EDDF,5786247,1
EDDF,5786248,1
EDDF,5786249,1
EDDF,5786250,1
EDDF,5786251,1
EDDF,5786252,1
EDDF,5786253,1
EDDF,5786254,1
EDDF,5786255,1
EDDF,5786256,1
EDDF,5786257,1
EDDF,5786258,1
EDDF,5786259,1
EDDF,5786260,3
EDDF,5786261,3
EDDF,5786262,3
EDDF,5786263,3
EDDF,5786264,3
EDDF,5786265,3
EDDF,5786266,3
EDDF,5786267,3
EDDF,5786268,3
EDDF,5786269,3
EDDF,5786270,3
EDDF,5786271,3
EDDF,5786272,3
EDDF,5786273,3
EDDF,5786274,3
EDDF,5786275,3
EDDF,5786276,3
EDDF,5786277,3
EDDF,5786278,3
EDDF,5786279,3
EDDF,5786280,3
EDDF,5786281,3
EDDF,5786282,3
EDDF,5786283,3
EDDF,5786284,3
EDDF,5786285,3
EDDF,5786286,3
EDDF,5786287,3
EDDF,5786288,2
EDDF,5786289,3
EDDF,5786290,3
EDDF,5786291,3
EDDF,5786292,3
EDDF,5786293,3
EDDF,5786294,3
EDDF,5786295,3
EDDF,5786296,3
EDDF,5786297,3
EDDF,5786298,3
EDDF,5786299,3
EDDF,5786300,2
EDDF,5786301,2
EDDF,5786302,2
EDDF,5786303,2
EDDF,5786304,2
EDDF,5786305,2
EDDF,5786306,2
EDDF,5786307,2
EDDF,5786308,2
EDDF,5786309,2
EDDF,5786310,2
EDDF,5786311,2
EDDF,5786312,2
EDDF,5786313,2
EDDF,5786314,2
EDDF,5786315,2
EDDF,5786316,2
EDDF,5786317,2
EDDF,5786318,2
EDDF,5786319,2
EDDF,5786320,2
EDDF,5786321,2
EDDF,5786322,2
EDDF,5786323,2
EDDF,5786324,2
EDDF,5786325,2
EDDF,5786326,2
EDDF,5786327,2
EDDF,5786328,2
EDDF,5786329,2
EDDF,5786330,2
EDDF,5786331,2
EDDF,5786332,2
EDDF,5786333,2
EDDF,5786334,2
EDDF,5786335,2
EDDF,5786336,2
EDDF,5786337,2
EDDF,5786338,2
EDDF,5786339,2
EDDF,5786340,2
EDDF,5786341,2
EDDF,5786342,2
EDDF,5786343,2
EDDF,5786344,2
EDDF,5786345,2
EDDF,5786346,2
EDDF,5786347,2
EDDF,5786348,2
EDDF,5786349,2
EDDF,5786350,2
EDDF,5786351,2
EDDF,5786352,2
EDDF,5786353,2
EDDF,5786354,2
EDDF,5786355,2
EDDF,5786356,2
EDDF,5786357,2
EDDF,5786358,2
EDDF,5786359,2
EDDF,5786360,2
EDDF,5786361,2
EDDF,5786362,2
EDDF,5786363,2
EDDF,5786364,2
EDDF,5786365,2
EDDF,5786366,2
EDDF,5786367,2
EDDF,5786368,2
EDDF,5786369,2
EDDF,5786370,2
EDDF,5786371,2
EDDF,5786372,2
EDDF,5786373,2
EDDF,5786374,2
EDDF,5786375,0
EDDF,5786376,0
EDDF,5786377,0
EDDF,5786378,0
EDDF,5786379,0
EDDF,5786380,0
EDDF,5786381,0
EDDF,5786382,0
EDDF,5786383,0
EDDF,5786384,0
EDDF,5786385,0
EDDF,5786386,0
EDDF,5786387,0
EDDF,5786388,0
EDDF,5786389,0
EDDF,5786390,0
EDDF,5786391,0
EDDF,5786392,0
EDDF,5786393,0
EDDF,5786394,0
EDDF,5786395,0
EDDF,5786396,0
EDDF,5786397,0
EDDF,5786398,0
EDDF,5786399,0
EDDF,5786400,0
EDDF,5786401,0
EDDF,5786402,0
EDDF,5786403,0
EDDF,5786404,0
EDDF,5786405,0
EDDF,5786406,0
EDDF,5786407,0
EDDF,5786408,0
EDDF,5786409,0
EDDF,5786410,0
EDDF,5786411,0
EDDF,5786412,0
